NDB_No,Name,Description,kcal (kCal/100g),prot (g/100g),Fat (g/100g),tsat (g/100g),carb (g/100g),tdf (g/100g),tsug (g/100g),ca (mg/100g),fe (mg/100g),mg (mg/100g),k (mg/100g),na (mg/100g),zn (mg/100g),vitc (mg/100g),b6 (mg/100g),b12 (µg/100g),trfa (mg/100g),d_iu (µg/100g),vitk (µg/100g),chol (mg/100g),tusat (g/100g)
12195,Almond Butter,"ALMOND BUTTER,PLN,WO/SALT",614,20.96,55.5,4.152,18.82,10.3,4.43,347,3.49,279,748,7,3.29,0,0.103,0,24.21,0,0,0,46.058
12063,Almonds,"ALMONDS,DRY RSTD,WO/SALT",598,20.96,52.54,4.092,21.01,10.9,4.86,268,3.73,279,713,3,3.31,0,0.136,0,23.9,0,0,0,46.031
09003,Apple,"APPLES,RAW,WITH SKIN",52,0.26,0.17,0.028,13.81,2.4,10.39,6,0.12,5,107,1,0.04,4.6,0.041,0,0.18,0,2.2,0,0.058
11007,Artichoke,"ARTICHOKES,(GLOBE OR FRENCH),RAW",47,3.27,0.15,0.036,10.51,5.4,0.99,44,1.28,60,370,94,0.49,11.7,0.116,0,0.19,0,14.8,0,0.069
11705,Asparagus,"ASPARAGUS,CKD,BLD,DRND,W/SALT",22,2.4,0.22,0.048,4.11,2,1.3,23,0.91,14,224,240,0.6,7.7,0.079,0,1.5,0,50.6,0,0.105
09037,Avodacdo,"AVOCADOS,RAW,ALL COMM VAR",160,2,14.66,2.126,8.53,6.7,0.66,12,0.55,29,485,7,0.64,10,0.257,0,2.07,0,21,0,11.615
18007,Bagel,"BAGELS,OAT BRAN",255,10.7,1.2,0.191,53.3,3.6,1.63,12,3.08,31,115,590,0.9,0.2,0.043,0,0.33,0,0.4,0,0.735
11026,Bamboo Shoots,"BAMBOO SHOOTS,RAW",27,2.6,0.3,0.069,5.2,2.2,3,13,0.5,3,533,4,1.1,4,0.24,0,1,0,0,0,0.141
09040,Banana,"BANANAS,RAW",89,1.09,0.33,0.112,22.84,2.6,12.23,5,0.26,27,358,1,0.15,8.7,0.367,0,0.1,0,0.5,0,0.105
16018,Black Turtle Beans,"BEANS,BLACK TURTLE,MATURE SEEDS,CND",91,6.03,0.29,0.075,16.55,6.9,0.23,35,1.9,35,308,384,0.54,2.7,0.055,0,0.62,0,2.3,0,0.15
16029,Kidney Beans,"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CND",84,5.22,0.6,0.141,14.5,4.3,1.85,34,1.17,27,237,296,0.46,1.2,0.074,0,0.02,0,4.1,0,0.645
16039,Navy Beans,"BEANS,NAVY,MATURE SEEDS,CND",113,7.53,0.43,0.112,20.45,5.1,0.28,47,1.85,47,288,336,0.77,0.7,0.103,0,0.78,0,2.9,0,0.224
19002,Beef Jerky,"BEEF JERKY,CHOPD&FORMED",410,33.2,25.6,10.85,11,1.8,9,20,5.42,51,597,2081,8.11,0,0.179,0.99,0.49,11,2.3,48,12.316
13416,Eye of Round Steak,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FT,0"" FAT,CHOIC,CKD,RSTD",171,29.79,4.83,1.656,0,0,0,16,1.86,15,408,66,4.32,0,0.817,2.13,0.31,1,1.3,74,2.292
11080,Beets,"BEETS,RAW",43,1.61,0.17,0.027,9.56,2.8,6.76,16,0.8,23,325,78,0.35,4.9,0.067,0,0.04,0,0.2,0,0.092
09042,"BLACKBERRIES,RAW","BLACKBERRIES,RAW",43,1.39,0.49,0.014,9.61,5.3,4.88,29,0.62,20,162,1,0.53,21,0.03,0,1.17,0,19.8,0,0.327
09050,"BLUEBERRIES,RAW","BLUEBERRIES,RAW",57,0.74,0.33,0.028,14.49,2.4,9.96,6,0.28,6,77,1,0.16,9.7,0.052,0,0.57,0,19.3,0,0.193
18036,Multigrain Bread,"BREAD,MULTI-GRAIN,TSTD (INCLUDES WHOLE-GRAIN)",288,14.52,4.6,0.948,47.11,8.1,6.94,111,2.72,85,250,414,1.85,0.1,0.286,0,0.4,0,1.5,0,2.861
16054,Fava Beans,"BROADBEANS (FAVA BNS),MATURE SEEDS,CND",71,8,0.7,0.1,18,8,0,26,1,32,242,453,0.62,1.8,0.045,0,0,0,0,0,0.4
11090,Broccoli,"BROCCOLI,RAW",34,2.82,0.37,0.039,6.64,2.6,1.7,47,0.73,21,316,33,0.41,89.2,0.175,0,0.78,0,101.6,0,0.049
11098,Brussel Sprouts,"BRUSSELS SPROUTS,RAW",43,3.38,0.3,0.062,8.95,3.8,2.2,42,1.4,23,389,25,0.42,85,0.219,0,0.88,0,177,0,0.176
11109,Cabbage,"CABBAGE,RAW",25,1.28,0.1,0.034,5.8,2.5,3.2,40,0.47,12,170,18,0.18,36.6,0.124,0,0.15,0,76,0,0.034
02054,Capers,"CAPERS,CANNED",23,2.36,0.86,0.233,4.89,3.2,0.41,40,1.67,33,40,2348,0.32,4.3,0.023,0,0.88,0,24.6,0,0.367
11124,Carrots,"CARROTS,RAW",41,0.93,0.24,0.037,9.58,2.8,4.74,33,0.3,12,320,69,0.24,5.9,0.138,0,0.66,0,13.2,0,0.131
12088,Cashew Butter,"CASHEW BUTTER,PLN,WO/SALT",587,17.56,49.41,9.763,27.57,2,0,43,5.03,258,546,15,5.16,0,0.252,0,0,0,0,0,37.476
12085,Cashew Nuts,"CASHEW NUTS,DRY RSTD,WO/SALT",574,15.31,46.35,9.157,32.69,3,5.01,45,6,260,565,16,5.6,0,0.256,0,0.92,0,34.7,0,35.153
08013,Cheerios,"CEREALS RTE,GENERAL MILLS,CHEERIOS",376,12.09,6.73,1.5,73.23,9.4,4.36,401,33.17,114,641,497,16.73,21.6,2.39,6.77,0.65,136,1.8,0,4.808
08037,Granola,"CEREALS RTE,GRANOLA,HOMEMADE",489,13.67,24.31,3.957,53.88,8.9,19.8,76,3.95,168,539,26,4.17,1.2,0.37,0,11.1,0,5.3,0,18.76
08001,All-Bran Cereal,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL",259,13.14,4.9,1.1,74.24,29.3,15.69,389,17.6,362,1020,258,12.4,20,12,18.8,1.19,170,5.2,0,2.89
11147,Swiss Chard,"CHARD,SWISS,RAW",19,1.8,0.2,0.03,3.74,1.6,1.1,51,1.8,81,379,213,0.36,30,0.099,0,1.89,0,830,0,0.11
01016,Cottage Cheese (1%),"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72,12.39,1.02,0.645,2.72,0,2.72,61,0.14,5,86,406,0.38,0,0.068,0.63,0.01,0,0.1,4,0.322
01019,Feta Cheese,"CHEESE,FETA",264,14.21,21.28,14.946,4.09,0,4.09,493,0.65,19,62,917,2.88,0,0.424,1.69,0.18,16,1.8,89,5.214
01028,Mozzarella Cheese,"CHEESE,MOZZARELLA,PART SKIM MILK",254,24.26,15.92,10.114,2.77,0,1.13,782,0.22,23,84,619,2.76,0,0.07,0.82,0.14,12,1.6,64,4.982
01044,Swiss Chees,"CHEESE,PAST PROCESS,SWISS",334,24.73,25.01,16.045,2.1,0,1.23,772,0.61,29,216,1370,3.61,0,0.036,1.23,0.34,18,2.2,85,7.668
12006,Chia Seeds,"CHIA SEEDS,DRIED",486,16.54,30.74,3.33,42.12,34.4,0,631,7.72,335,407,16,4.58,1.6,0,0,0.5,0,0,0,25.974
05332,Ground Chicken,"CHICKEN,GROUND,RAW",143,17.44,8.1,2.301,0.04,0,0,6,0.82,21,522,60,1.47,0,0.512,0.56,0.27,0,0.8,86,5.119
05118,Lt Meat Roast Chicken,"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,CKD,RSTD",153,27.13,4.07,1.08,0,0,0,13,1.08,23,236,51,0.78,0,0.54,0.31,0.27,5,0.3,75,2.45
05114,Roast Chicken,"CHICKEN,ROASTING,MEAT ONLY,CKD,RSTD",167,25.01,6.63,1.81,0,0,0,12,1.21,21,229,75,1.52,0,0.41,0.29,0,0,0,75,4.01
16358,Chickpeas,"CHICKPEAS,MAT SEEDS,CND,DRND SOL",139,7.05,2.77,0.214,22.53,6.4,4.01,45,1.07,26,126,246,0.63,0.1,0.116,0,0.29,0,3.4,0,1.455
02010,cinnamon,"CINNAMON,GROUND",247,3.99,1.24,0.345,80.59,53.1,2.17,1002,8.32,60,431,10,1.83,3.8,0.158,0,2.32,0,31.2,0,0.314
02011,ground cloves,"CLOVES,GROUND",274,5.97,13,3.952,65.53,33.9,2.38,632,11.83,259,1020,277,2.32,0.2,0.391,0,8.82,0,141.8,0,4.999
12104,coconut meat,"COCONUT MEAT,RAW",354,3.33,33.49,29.698,15.23,9,6.23,14,2.43,32,356,20,1.1,3.3,0.054,0,0.24,0,0.2,0,1.791
12117,coconut milk,"COCONUT MILK,RAW (LIQ EXPRESSED FROM GRATED MEAT&H2O)",230,2.29,23.84,21.14,5.54,2.2,3.34,16,1.64,37,263,15,0.67,2.8,0.033,0,0.15,0,0.1,0,1.275
11161,collards,"COLLARDS,RAW",32,3.02,0.61,0.055,5.42,4,0.46,232,0.47,27,213,17,0.21,35.3,0.165,0,2.26,0,437.1,0,0.231
11167,corn,"CORN,SWT,YEL,RAW",86,3.27,1.35,0.325,18.7,2,6.26,2,0.52,37,270,15,0.46,6.8,0.093,0,0.07,0,0.3,0,0.919
20029,couscous,"COUSCOUS,COOKED",112,3.79,0.16,0.029,23.22,1.4,0.1,8,0.38,8,58,5,0.26,0,0.051,0,0.13,0,0.1,0,0.086
02016,dill seed,DILL SEED,305,15.98,14.54,0.73,55.17,21.1,0,1516,16.33,256,1186,20,5.2,21,0.25,0,0,0,0,0,10.42
11212,edameme,"EDAMAME,FRZ,PREP",121,11.91,5.2,0.62,8.91,5.2,2.18,63,2.27,64,436,6,1.37,6.1,0.1,0,0.68,0,26.7,0,3.438
01124,egg whites,"EGG,WHITE,RAW,FRESH",52,10.9,0.17,0,0.73,0,0.71,7,0.08,11,163,166,0.03,0,0.005,0.09,0,0,0,0,0
01128,"eggs, whole fried","EGG,WHL,CKD,FRIED",196,13.61,14.84,4.323,0.83,0,0.4,62,1.89,13,152,207,1.39,0,0.184,0.97,1.31,88,5.6,401,9.433
01129,"eggs, hard boiled","EGG,WHL,CKD,HARD-BOILED",155,12.58,10.61,3.267,1.12,0,1.12,50,1.19,10,126,124,1.05,0,0.121,1.11,1.03,87,0.3,373,5.491
01123,"eggs, raw","EGG,WHL,RAW,FRSH",143,12.56,9.51,3.126,0.72,0,0.37,56,1.75,12,138,142,1.29,0,0.17,0.89,1.05,82,0.3,372,5.569
11209,eggplant,"EGGPLANT,RAW",25,0.98,0.18,0.034,5.88,3,3.53,9,0.23,14,229,2,0.16,2.2,0.084,0,0.3,0,3.5,0,0.092
09088,elderberries,"ELDERBERRIES,RAW",73,0.66,0.5,0.023,18.4,7,0,38,1.6,5,280,6,0.11,36,0.23,0,0,0,0,0,0.327
16138,"falafel, home-made","FALAFEL,HOME-PREPARED",333,13.31,17.8,2.383,31.84,0,0,54,3.42,82,585,294,1.5,1.6,0.125,0,0,0,0,0,14.331
09089,figs,"FIGS,RAW",74,0.75,0.3,0.06,19.18,2.9,16.26,35,0.37,17,232,1,0.15,2,0.113,0,0.11,0,4.7,0,0.21
04589,cod liver oil,"FISH OIL,COD LIVER",902,0,100,22.608,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,570,69.252
15192,Pacific Cod,"FISH,COD,PACIFIC,CKD,DRY HEAT (MAYBE PREVIOUSLY FROZEN)",85,18.73,0.5,0.105,0,0,0,10,0.2,24,289,372,0.39,0,0.136,2.31,0.67,24,0,57,0.29
15086,Salmon,"FISH,SALMON,SOCKEYE,CKD,DRY HEAT",156,26.48,5.57,0.969,0,0,0,11,0.52,36,436,92,0.55,0,0.827,4.47,0.99,670,0.1,61,3.191
15262,Tilapia,"FISH,TILAPIA,CKD,DRY HEAT",128,26.15,2.65,0.94,0,0,0,14,0.69,34,380,56,0.41,0,0.123,1.86,0.79,150,0.9,57,1.555
11215,Garlic,"GARLIC,RAW",149,6.36,0.5,0.089,33.06,2.1,1,181,1.7,25,401,17,1.16,31.2,1.235,0,0.08,0,1.7,0,0.26
19173,Gelatin Dessert,"GELATIN DSSRT,DRY MIX,PREP W/ H2O",62,1.22,0,0,14.19,0,13.49,3,0.02,1,1,75,0.01,0,0,0,0,0,0,0,0
11216,Fresh Ginger,"GINGER ROOT,RAW",80,1.82,0.75,0.203,17.77,2,1.7,16,0.6,43,415,13,0.34,5,0.16,0,0.26,0,0.1,0,0.308
09110,Goji Berries,"GOJI BERRIES,DRIED",349,14.26,0.39,0,77.06,13,45.61,190,6.8,0,0,298,0,48.4,0,0,0,0,0,0,0
09107,Gooseberries,"GOOSEBERRIES,RAW",44,0.88,0.58,0.038,10.18,4.3,0,25,0.31,10,198,1,0.12,27.7,0.08,0,0.37,0,0,0,0.368
09112,Grapefruit,"GRAPEFRUIT,RAW,PINK&RED,ALL AREAS",42,0.77,0.14,0.021,10.66,1.6,6.89,22,0.08,9,135,0,0.07,31.2,0.053,0,0.13,0,0,0,0.056
05306,Ground Turkey,"GROUND TURKEY,CKD",203,27.37,10.4,2.669,0,0,0,28,1.52,30,294,78,3.11,0,0.633,1.34,0.11,8,0,93,6.375
05664,Ground Turkey,"GROUND TURKEY,FAT FREE,PATTIES,BRLD",138,28.99,2.48,0.673,0,0,0,6,0.78,35,339,59,2.19,0,0.908,0.67,0.09,8,0,65,1.472
09139,Common Guavas,"GUAVAS,COMMON,RAW",68,2.55,0.95,0.272,14.32,5.4,8.92,18,0.26,22,417,2,0.23,228.3,0.11,0,0.73,0,2.6,0,0.488
15034,Fresh Haddock,"HADDOCK,COOKED,DRY HEAT",90,19.99,0.55,0.111,0,0,0,14,0.21,26,351,261,0.4,0,0.327,2.13,0.55,23,0.1,66,0.278
15037,Halibut,"HALIBUT,ATLANTIC&PACIFIC,CKD,DRY HEAT",111,22.54,1.61,0.354,0,0,0,9,0.2,28,528,82,0.43,0,0.632,1.27,0.74,231,0,60,0.925
16137,Fresh Hummus,"HUMMUS,HOME PREP",177,4.86,8.59,1.141,20.12,4,0.27,49,1.56,29,173,242,1.09,7.9,0.399,0,0.75,0,3,0,6.974
11233,Kale,"KALE,RAW",49,4.28,0.93,0.091,8.75,3.6,2.26,150,1.47,47,491,38,0.56,120,0.271,0,1.54,0,704.8,0,0.39
09148,Grn Kiwifruit,"KIWIFRUIT,GRN,RAW",61,1.14,0.52,0.029,14.66,3,8.99,34,0.31,17,312,3,0.14,92.7,0.063,0,1.46,0,40.3,0,0.334
09149,Kumquats,"KUMQUATS,RAW",71,1.88,0.86,0.103,15.9,6.5,9.36,62,0.86,20,186,10,0.17,43.9,0.036,0,0.15,0,0,0,0.325
